DATA;PROVINCIA;LOCALITA;TIPO;TRAVOLTI;ILLESI;FERITI;MORTI
11/04/2006;BZ;Val Martello;1;4;1;;3
12/04/2006;AO;Col d'Orein;2;2;;2;
12/04/2006;AO;Platta Grevon-PILA;3;2;2;0;
10/05/2006;SO;Punta San Matteo;2;1;;1;
11/05/2006;SO;Cime di Pejo;1;4;3;1;
10/12/2006;AO;Cervinia (Teodulo);3;0;0;0;0
03/01/2007;TN;Val S. Nicolï;2;0;0;0;1
03/01/2007;SO;Livigno;3;2;2;;
04/01/2007;AO;Gressoney L.T-Zitten;3;2;2;0;0
06/01/2007;AO;LaThuile (Belvedere);3;0;0;0;0
06/01/2007;BZ;Val Passiria/ Plan;5;1;0;0;1
06/01/2007;Bz;Val Senales;8;1;1;;
06/01/2007;SO;Val Alpisella;1;3;3;;
06/01/2007;VC;Alagna;3;4;3;1;
07/01/2007;AO;GSBernardo-ColSerena;1;5;5;0;0
26/01/2007;AO;Cogne - Rif. Sella;2;1;0;1;0
27/01/2007;BL;Passo Fedaia;3;1;;1;
27/01/2007;SO;M.Pedena - Albaredo;1;5;4;;1
28/01/2007;BZ;Monte Spico;3;3;1;2;
09/02/2007;AO;M.Bianco-C.Gigante;3;1;0;0;1
15/02/2007;AO;M.Bianco - Toula;3;4;4;0;0
15/02/2007;SO;Val Caronella;1;1;;1;
02/03/2007;CN;Valle Stura;2;7;7;0;0
04/03/2007;VC;Alagna;3;7;7;0;0
04/03/2007;BZ;Valle Aurina;1;4;4;0;
05/03/2007;SO;Vedretta Cristallo;2;1;1;;
10/03/2007;SO;M.Pedena - Albaredo;1;2;1;1;
11/03/2007;BL;M. Pelmo F.lla Rossa;1;3;;3;0
11/03/2007;bl;Forcella Camin;2;2;;;2
11/03/2007;AO;ValdiRhemes-Entrelor;2;3;3;0;0
11/03/2007;BZ;S. Candido;1;1;;1;
12/03/2007;SO;Cima Solda;2;1;;1;
25/03/2007;BZ;P.taBeltovo di fuori;8;1;;1;
26/03/2007;AO;Bionaz-Becca Rayette;1;6;6;0;0
01/04/2007;BZ;Perca Val Pusteria;2;1;;1;
06/04/2007;AO;ValsavarencheRChabod;1;4;4;0;0
06/04/2007;AO;Pila-PuntaValletta;3;1;1;0;0
08/04/2007;AO;Valgrisenche-Giasson;2;1;0;1;0
14/04/2007;SO;M.Foscagno - Livigno;2;1;1;;
06/05/2007;AO;M.Bianco-C.le Toula;3;4;3;1;0
06/01/2008;BL;Val Biois Laresei-C. Pradazzo;3;1;1;0;0
06/01/2008;CN;Limonetto - Forte Pernante;3;1;0;1;0
06/01/2008;TO;Usseaux - Francoise Pelouxe;1;1;1;0;0
06/01/2008;BL;Val Biois - Forcella Pradazzo;3;1;1;0;0
12/01/2008;SO;Val Federia - Livigno;3;4;2;0;2
13/01/2008;SO;Colmenetta - Madesimo;3;3;3;0;0
13/01/2008;BZ;Val Senales - Lazaun;3;1;0;1;0
13/01/2008;BS;Dosso dei Galli - Collio Val Trompia;8;11;7;0;4
13/01/2008;TN;Doss de la PÇsa;3;1;0;0;1
14/01/2008;VC;Valsesia - Val Otro;2;3;3;0;0
18/01/2008;SO;Val Cantone - Livigno;3;1;;0;1
19/01/2008;AO;Champorcher - Gran Comba;3;1;1;0;0
20/01/2008;BL;Arabba - Soura Sass;3;1;1;0;0
24/02/2008;BZ;Val Passiria;2;1;1;0;0
24/02/2008;AO;Brusson - Palasinaz;2;1;1;0;0
11/03/2008;BL;Val Boite - Tofane F.lla Rossa;8;1;1;0;0
13/03/2008;AO;Valle Gran San Berna;1;1;0;1;0
15/03/2008;BZ;San Martino in Badia - Wasserscharte;2;1;1;0;0
25/03/2008;AO;Courmayeur Dolonne;3;1;0;1;0
26/03/2008;AO;Ayas - Gran Cima;2;1;0;1;0
26/03/2008;SO;Val Cantone - Livigno;3;1;1;0;0
29/03/2008;BZ;Val Senales - Val delle Frane;3;2;1;1;0
08/04/2008;SO;M.Vallecetta - Bormio 3000;3;1;1;0;0
12/04/2008;AO;Bionaz-Rif. Nacamuli;1;2;0;1;1
13/04/2008;VB;Alpe Devero - Colle Marani;1;3;1;2;0
16/04/2008;TN;Adamello-Presena Cima Payer;1;1;1;0;0
19/04/2008;CN;Valle Stura - Testa di Costabella del Piz;2;1;1;0;0
20/04/2008;BZ;Kasere - Valle Aurina;2;1;0;0;1
24/04/2008;AO;Valgrisenche - Torrent du Geis;1;1;0;1;0
30/04/2008;TO;Valle Orco - Punta Basei;1;6;0;1;5
06/05/2008;AO;Valpelline - Rif AO;1;1;0;0;1
19/06/2008;AO;Val d'Ayas - Castore;5;5;0;5;0
15/07/2008;AO;Val Ferret - M. Dolent;5;3;0;3;0
15/11/2008;TN;Gruppo Dolomiti Brenta-scivolo nord cima Brenta;2;1;0;1;0
01/12/2008;BZ;Val d'Ultimo - Pawigl;6;1;1;0;0
06/12/2008;BI;Alpi Biellesi - Monte Mucrone;8;1;0;1;0
06/12/2008;TO;Valle Susa - Vallone Rio Nero;3;1;0;1;0
06/12/2008;AO;Valtournenche - verso la Grande Dent;1;3;2;1;0
07/12/2008;AO;Gran San Bernardo - Monte Paglietta;2;1;1;0;0
07/12/2008;TO;Valle Pellice, Monte Granero;1;4;0;0;4
